Year,Department,Salary_Cost,Equipment_Cost,Maintenance_Cost,Utilities_Cost,Miscellaneous_Cost,Total_Cost
2019,Civil,717919,260467,103266,73840,44438,1199930
2019,Computer Science,772026,431718,144555,59933,64922,1473154
2022,Electrical,669519,491452,142995,81979,70510,1456455
2021,Civil,787187,402079,145402,95047,44227,1473942
2023,Electrical,856587,449151,134176,54137,44265,1538316
2019,Mechanical,748112,278702,121733,61423,49188,1259158
2023,Electrical,644772,344369,94418,74315,48604,1206478
2019,Computer Science,722431,325569,117185,84482,58565,1308232
2020,Electrical,794904,303952,121745,94156,62588,1377345
2019,Computer Science,758988,439137,133787,86115,71958,1489985
2022,Mechanical,888516,284169,132035,84754,62074,1451548
2021,Computer Science,639080,266829,145984,86312,47105,1185310
2020,Electrical,706242,441207,132462,73363,55790,1409064
2019,Civil,629048,254522,117353,67085,53358,1121366
2023,Mechanical,685205,335687,128302,92414,60944,1302552
2020,Electrical,767403,416391,102435,86554,52187,1424970
2020,Mechanical,856392,370334,137728,64415,34025,1462894
2019,Mechanical,620968,407615,81238,97052,58155,1265028
2020,Electrical,834417,368576,93049,71398,54512,1421952
2023,Electrical,611292,484192,137193,82691,45907,1361275
2020,Civil,851942,367419,115584,56659,44469,1436073
2023,Mechanical,849004,411545,146634,70644,67924,1545751
2019,Mechanical,684193,257699,94679,53044,77196,1166811
2021,Electrical,669165,318165,114505,53883,44410,1200128
2020,Computer Science,701398,421527,131341,81712,73763,1409741
2021,Electrical,822182,325692,130374,69324,67580,1415152
2023,Mechanical,753329,267441,126998,98119,38650,1284537
2020,Electrical,700588,280716,135701,71545,78826,1267376
2022,Civil,852822,312175,124859,68204,56277,1414337
2021,Computer Science,822345,256834,113178,73268,32456,1298081
2020,Electrical,808655,268179,107575,65762,46590,1296761
2021,Civil,884257,276219,99329,78371,57892,1396068
2020,Mechanical,862838,353153,137254,68847,47740,1469832
2019,Electrical,615588,396854,120068,86139,75728,1294377
2021,Mechanical,792828,462435,138951,91295,41788,1527297
2022,Civil,842431,324967,115171,60116,53845,1396530
2022,Mechanical,845456,352454,88262,80125,37156,1403453
2023,Civil,792214,490665,123270,81404,77033,1564586
2020,Civil,664373,259496,100785,78436,38151,1141241
2021,Civil,606704,469939,119469,52788,56515,1305415
2023,Electrical,640136,420310,148831,82149,40987,1332413
2021,Mechanical,667507,296025,125643,54125,42560,1185860
2020,Mechanical,647361,309886,147657,53606,32673,1191183
2022,Computer Science,742513,404635,83582,91534,77767,1400031
2019,Computer Science,614677,253712,110280,82988,36823,1098480
2022,Computer Science,889962,344067,122589,71306,69644,1497568
2023,Computer Science,864012,295489,120000,92973,58365,1430839
2019,Mechanical,683591,282664,81085,60833,68741,1176914
2023,Civil,673168,491871,95600,71997,38282,1370918
2020,Civil,743115,393492,139801,83521,71435,1431364
2019,Electrical,671939,435682,141739,79948,38056,1367364
2023,Civil,877876,255315,121596,96643,64814,1416244
2020,Mechanical,871484,451989,132188,57488,51691,1564840
2022,Mechanical,835560,325033,106825,89974,70504,1427896
2020,Mechanical,884538,475648,90913,92448,66458,1610005
2021,Electrical,735174,367862,94332,57938,58601,1313907
2020,Computer Science,619159,478983,134895,88726,51013,1372776
2020,Civil,722366,329030,84432,65770,65513,1267111
2021,Mechanical,796164,313910,106570,56635,53407,1326686
2023,Mechanical,868356,478360,86103,58629,54660,1546108
2023,Computer Science,899549,442044,95900,99934,32639,1570066
2020,Mechanical,841876,371075,138415,81668,51320,1484354
2021,Civil,824065,471965,147567,71487,30076,1545160
2021,Electrical,610532,305919,142713,62869,36473,1158506
2022,Mechanical,810126,463558,138639,99371,40622,1552316
2023,Civil,816351,462360,88988,59219,48808,1475726
2019,Mechanical,703021,483998,82977,90797,35296,1396089
2023,Computer Science,865415,385204,134641,99040,52951,1537251
2023,Mechanical,600209,377153,81268,66673,52470,1177773
2022,Mechanical,822071,291598,134431,66763,30405,1345268
2019,Electrical,736611,474884,96756,94933,75076,1478260
2022,Computer Science,882121,486371,100764,61043,45345,1575644
2019,Computer Science,805214,401623,139912,59570,30397,1436716
2020,Electrical,709920,473583,120385,56886,44665,1405439
2019,Mechanical,830144,318206,95032,51958,44560,1339900
2022,Civil,867751,324900,125702,93087,56376,1467816
2023,Computer Science,816194,276296,91885,74641,49857,1308873
2019,Computer Science,783011,471288,89796,52183,62506,1458784
2019,Mechanical,749666,399138,112863,79070,72768,1413505
2021,Mechanical,607399,409964,112117,53774,67757,1251011
2023,Computer Science,726812,325577,100753,79018,50310,1282470
2020,Mechanical,698662,455662,100325,70303,48328,1373280
2022,Civil,895761,327173,87021,64272,71397,1445624
2020,Computer Science,738570,457365,133096,72586,68159,1469776
2023,Civil,848304,314771,93071,83545,62990,1402681
2019,Civil,871772,487866,144649,52566,37830,1594683
2019,Mechanical,607032,408556,88041,92863,78998,1275490
2023,Civil,779166,327865,120058,60953,66768,1354810
2019,Mechanical,702658,349074,128263,81696,49048,1310739
2019,Electrical,655264,408187,124470,57404,76255,1321580
2019,Mechanical,694120,407110,108223,82846,51748,1344047
2022,Civil,647850,286622,113575,51581,35393,1135021
2022,Electrical,604722,285886,125799,64066,53885,1134358
2021,Mechanical,879916,432356,101661,90735,30603,1535271
2020,Civil,604576,390973,116432,57839,36295,1206115
2023,Computer Science,757779,306377,111147,84930,71148,1331381
2023,Computer Science,641476,332910,109114,72129,37103,1192732
2023,Mechanical,848292,430934,86030,80845,55251,1501352
2021,Mechanical,886298,368992,127429,63913,79789,1526421
2022,Computer Science,879309,492898,127743,50964,44546,1595460
2021,Civil,614439,413878,145615,60739,45456,1280127
2023,Civil,644518,398731,127577,52673,48228,1271727
2020,Civil,819123,495378,82966,88061,44674,1530202
2019,Mechanical,626962,404525,83728,81171,30046,1226432
2022,Electrical,839157,411570,117304,73643,30819,1472493
2022,Electrical,899907,451465,129277,84486,66575,1631710
2021,Electrical,716189,266312,80947,60624,49406,1173478
2022,Electrical,710290,251436,146130,51228,31080,1190164
2023,Electrical,881608,277569,101414,93370,33146,1387107
2023,Mechanical,723980,439885,99439,84608,41926,1389838
2021,Mechanical,827021,366787,138220,99649,45930,1477607
2023,Electrical,764342,340485,126785,66920,77940,1376472
2020,Mechanical,642299,454301,116973,69689,45287,1328549
2021,Mechanical,816877,427058,148196,57124,69509,1518764
2020,Electrical,631541,352555,86089,92124,64985,1227294
2019,Civil,823070,434249,142235,81339,32886,1513779
2020,Mechanical,729188,390377,109400,57587,43344,1329896
2019,Civil,808150,282646,95405,53527,52018,1291746
2019,Mechanical,891909,473910,132763,83067,71755,1653404
2020,Mechanical,885913,326126,110209,95358,37293,1454899
2021,Electrical,819073,367922,97424,53963,33006,1371388
2023,Mechanical,620156,290430,100556,87455,69726,1168323
2023,Computer Science,816908,372238,99330,86939,54356,1429771
2019,Computer Science,744507,318659,83236,70243,73349,1289994
2019,Electrical,800722,365341,149216,82693,66911,1464883
2021,Civil,777408,254158,110312,95835,44699,1282412
2022,Civil,673631,324236,101191,53695,58434,1211187
2020,Civil,669487,326067,116640,59112,47602,1218908
2019,Computer Science,842735,408810,142293,82059,70786,1546683
2023,Civil,795254,259879,116688,57242,39952,1269015
2021,Civil,651786,386615,104122,59941,71684,1274148
2020,Electrical,668304,362284,121224,70001,60489,1282302
2021,Civil,777586,428996,86331,52700,62905,1408518
2020,Computer Science,720938,423420,122262,68085,76924,1411629
2020,Computer Science,655107,334117,139592,63339,43381,1235536
2019,Computer Science,845191,417751,113926,65834,43893,1486595
2021,Electrical,732232,460190,97528,61084,58130,1409164
2021,Electrical,672577,293888,80068,79543,60415,1186491
2023,Mechanical,815375,280276,149253,85930,79128,1409962
2023,Civil,860933,484611,123968,91074,49143,1609729
2019,Electrical,704180,254799,128623,81902,62826,1232330
2019,Computer Science,882068,471699,122129,79044,79922,1634862
2022,Computer Science,744954,474842,141321,63137,30388,1454642
2023,Electrical,811346,362529,91526,84905,42116,1392422
2020,Electrical,601095,374713,106709,99182,49806,1231505
2021,Electrical,772055,340141,95063,55948,69780,1332987
2019,Mechanical,614123,441630,84723,97461,75394,1313331
2021,Computer Science,797687,365013,84213,82567,34852,1364332
2021,Mechanical,651999,417606,102797,81189,79747,1333338
2022,Mechanical,893297,281668,125217,98867,38627,1437676
2023,Civil,880488,385183,148283,98978,59048,1571980
2019,Computer Science,830849,405758,103655,81871,64750,1486883
2021,Computer Science,637656,453623,92587,68189,57014,1309069
2019,Electrical,801587,322392,102555,72797,77584,1376915
2020,Electrical,860587,266490,108071,53569,41060,1329777
2022,Civil,863356,416266,100239,76012,75169,1531042
2020,Mechanical,720385,395569,129151,62977,73179,1381261
2019,Electrical,740073,434588,82203,82049,38209,1377122
2019,Electrical,678784,367219,93635,71694,68197,1279529
2023,Computer Science,631368,469802,132571,94388,42158,1370287
2021,Computer Science,801891,294104,81144,83224,48076,1308439
2021,Electrical,661160,255316,112699,66832,34376,1130383
2020,Computer Science,756926,288130,92213,82835,49651,1269755
2022,Civil,872859,451301,96944,51862,53948,1526914
2021,Electrical,658784,357294,146723,68186,48079,1279066
2023,Computer Science,626797,279954,148669,79545,43978,1178943
2020,Civil,614780,363437,148947,95522,42705,1265391
2020,Computer Science,637905,402724,114457,94391,56907,1306384
2023,Computer Science,716049,395250,115191,90322,51831,1368643
2022,Computer Science,729651,490005,137924,58319,73629,1489528
2023,Electrical,633359,432235,113744,88663,37965,1305966
2022,Mechanical,673391,395823,133424,95788,40248,1338674
2023,Computer Science,699596,447033,112886,78401,76988,1414904
2023,Civil,847414,384116,80972,82228,53633,1448363
2019,Electrical,878715,313165,86621,62202,59503,1400206
2020,Electrical,750214,392552,129738,88283,37461,1398248
2023,Civil,887248,446511,137694,70122,56998,1598573
2023,Computer Science,608625,424946,134777,83135,42821,1294304
2021,Mechanical,893362,485605,94530,72585,49870,1595952
2020,Computer Science,775544,316775,87354,98408,43410,1321491
2021,Civil,723182,387638,126529,98229,52185,1387763
2020,Electrical,620566,335311,131714,64897,49133,1201621
2021,Mechanical,633205,483589,121232,71291,54169,1363486
2023,Electrical,709084,303149,132079,82826,53359,1280497
2023,Civil,629717,384078,92550,58294,57400,1222039
2019,Computer Science,781056,322561,140385,54507,64173,1362682
2021,Mechanical,759236,400495,144736,99937,41179,1445583
2022,Electrical,620169,485934,110268,78854,66343,1361568
2019,Electrical,883748,340710,84290,97520,65495,1471763
2021,Electrical,728140,342199,135034,65475,36487,1307335
2021,Computer Science,702537,415024,110138,94905,44760,1367364
2019,Mechanical,846337,277326,93432,64334,56439,1337868
2023,Computer Science,711301,367272,147058,68830,56929,1351390
2021,Computer Science,870151,281139,138175,97882,36291,1423638
2023,Computer Science,831704,443175,113329,98803,57472,1544483
2019,Civil,717419,493806,149076,77278,59403,1496982
2023,Civil,805863,441929,92328,68749,32501,1441370
2020,Civil,828870,323638,114247,80511,73040,1420306
2022,Mechanical,867926,493245,86677,87469,31755,1567072
2021,Computer Science,666770,322652,141810,90185,66158,1287575
2022,Computer Science,657645,262937,130357,75072,35816,1161827
2023,Civil,703509,280161,135812,92326,47600,1259408
2021,Computer Science,830796,385455,121616,81146,62616,1481629
2023,Computer Science,891348,335856,141284,61057,31890,1461435
2020,Electrical,617152,497459,129741,76427,41223,1362002
2019,Computer Science,838972,320043,133478,91982,76597,1461072
2021,Electrical,816096,395807,134056,94090,54966,1495015
2020,Computer Science,833731,309919,125534,98654,37688,1405526
2020,Mechanical,881833,476321,144162,61036,69268,1632620
2021,Civil,781762,332055,124711,64060,69484,1372072
2023,Electrical,788392,448633,102805,63607,57553,1460990
2020,Civil,787163,335455,100143,85102,33746,1341609
2022,Electrical,638712,418694,142473,74074,48579,1322532
2020,Electrical,857387,288135,96017,98864,43014,1383417
2023,Electrical,836502,416730,143202,69773,78443,1544650
2023,Mechanical,796349,334677,121423,82970,71961,1407380
2022,Computer Science,620478,279696,121713,82998,66397,1171282
2020,Electrical,622551,384845,82205,78210,37766,1205577
2023,Mechanical,648068,274956,133266,94088,36147,1186525
2021,Electrical,693608,265819,92342,61683,77881,1191333
2019,Computer Science,635561,251528,149563,52962,77210,1166824
2019,Electrical,733964,377781,143190,85095,77178,1417208
2019,Mechanical,886539,336491,101200,80000,31063,1435293
2020,Computer Science,618756,294588,87188,79137,38830,1118499
2022,Mechanical,847652,451657,82808,85552,73702,1541371
2023,Computer Science,851227,349152,93851,96253,39334,1429817
2021,Computer Science,780378,377872,144928,83571,40312,1427061
2021,Civil,752418,401583,95058,95321,55127,1399507
2020,Civil,890168,260119,94620,97350,66043,1408300
2019,Civil,826022,325893,132755,93861,30976,1409507
2020,Computer Science,605947,266167,142995,89164,75151,1179424
2022,Electrical,727192,437575,116681,97578,74174,1453200
2022,Mechanical,857591,360782,144509,66559,41739,1471180
2023,Mechanical,858492,468861,147703,92404,34069,1601529
2023,Mechanical,838826,380775,147680,98074,45604,1510959
2022,Civil,744490,284889,147703,94963,44612,1316657
2022,Computer Science,826494,295678,122136,55691,79102,1379101
2022,Civil,831391,476406,116343,53532,69170,1546842
2020,Electrical,786256,310262,98254,98991,75101,1368864
2022,Computer Science,845318,385753,141273,70733,30345,1473422
2021,Mechanical,772905,330291,139611,67927,67710,1378444
2019,Civil,618402,316008,140002,93114,49326,1216852
2022,Civil,773917,497547,92926,63482,39363,1467235
2019,Electrical,675851,479489,144264,76681,33770,1410055
2020,Electrical,612834,394762,107563,55456,74121,1244736
2019,Civil,667850,275912,110688,53413,38424,1146287
2020,Electrical,637180,256473,114130,57085,41990,1106858
2021,Mechanical,709688,422370,80925,77937,38048,1328968
2020,Electrical,806659,399741,131595,70563,58722,1467280
2020,Electrical,873839,349500,96321,59332,74867,1453859
2023,Civil,727135,463070,90769,87575,74659,1443208
2022,Civil,754195,402015,116748,57386,62137,1392481
2022,Computer Science,658481,288785,120028,76337,45573,1189204
2021,Computer Science,673438,350956,96151,84708,46834,1252087
2021,Civil,711491,444499,114187,79572,39554,1389303
2022,Electrical,721844,443073,123835,83424,63118,1435294
2023,Electrical,656494,442796,80059,85271,57272,1321892
2022,Computer Science,807167,369006,107235,99810,72268,1455486
2023,Computer Science,654672,260832,147114,61030,66772,1190420
2021,Computer Science,661821,386457,125366,63138,41117,1277899
2019,Mechanical,669224,476970,112160,97369,51062,1406785
2021,Mechanical,834745,395780,85277,65646,46628,1428076
2021,Computer Science,654796,439672,81780,78812,43015,1298075
2020,Electrical,728554,404510,126579,73422,34734,1367799
2020,Computer Science,866167,332747,140750,60645,75639,1475948
2020,Mechanical,845358,330107,136902,64628,45162,1422157
2020,Electrical,813708,441134,112161,74486,79592,1521081
2023,Mechanical,767807,315428,124499,72409,74505,1354648
2022,Electrical,639218,336843,111886,89266,39659,1216872
2019,Mechanical,829766,261002,88800,72732,46795,1299095
2021,Electrical,890604,417225,129460,96557,63581,1597427
2023,Electrical,631017,403512,149843,69425,58917,1312714
2019,Electrical,619515,317501,82364,62195,48114,1129689
2023,Electrical,808106,282556,96568,68722,36643,1292595
2023,Civil,895145,317963,118092,66494,43269,1440963
2021,Mechanical,601391,482217,142679,71571,48358,1346216
2022,Mechanical,796278,471797,145781,84486,63317,1561659
2020,Civil,709388,471746,88430,72900,77220,1419684
2022,Electrical,679720,256563,118692,50125,62493,1167593
2021,Electrical,889258,460995,110086,98814,48321,1607474
2021,Mechanical,742954,255840,129671,69318,30203,1227986
2021,Civil,748345,265154,93901,88685,45718,1241803
2019,Electrical,645647,274194,83907,93162,66356,1163266
2022,Electrical,795964,446092,108604,57590,65304,1473554
2022,Electrical,642679,427933,117869,84850,52172,1325503
2023,Computer Science,862571,403520,94537,62134,38298,1461060
2023,Civil,828024,477532,92501,75230,50195,1523482
2023,Electrical,666267,273528,117371,65058,65469,1187693
2021,Computer Science,600799,410474,116821,64301,74857,1267252
2022,Civil,607025,254352,86073,87861,40411,1075722
2021,Electrical,614481,250184,141005,77039,37825,1120534
2019,Mechanical,887555,391456,98101,50284,61238,1488634
2023,Computer Science,827966,264319,111426,88334,68742,1360787
2021,Computer Science,705928,370497,87313,93525,34090,1291353
2021,Electrical,723014,401521,110773,90986,53340,1379634
2019,Electrical,651690,306333,108003,68658,57151,1191835
2020,Computer Science,652870,291205,139668,78443,73327,1235513
2022,Mechanical,767207,260426,122294,53972,39252,1243151
2020,Mechanical,686928,257504,93582,76167,65314,1179495
2023,Civil,809870,437650,93760,63679,33736,1438695
2021,Electrical,670765,439281,115983,94341,77368,1397738
2019,Mechanical,885916,366775,120309,79519,31672,1484191
2019,Civil,880943,283368,109715,75704,30401,1380131
2022,Mechanical,729941,487180,116415,86881,45322,1465739
2020,Electrical,623555,492625,131581,81948,55177,1384886
2022,Civil,865232,353841,83652,64378,41191,1408294
2021,Civil,645783,433257,106297,60328,67081,1312746
2022,Civil,601115,478702,94028,74732,44665,1293242
2019,Mechanical,799198,366744,93803,67673,74412,1401830
2019,Electrical,672908,461293,86307,60373,74594,1355475
2023,Civil,669109,258724,111325,55720,79239,1174117
2023,Computer Science,865122,386156,138616,55153,79071,1524118
2021,Electrical,609422,415882,140483,56226,69047,1291060
2020,Computer Science,774698,463349,111574,52976,61513,1464110
2022,Computer Science,689233,332297,147071,88019,32967,1289587
2021,Civil,637743,375099,94932,86267,67018,1261059
2023,Civil,801533,328872,95749,69297,54795,1350246
2022,Mechanical,729000,401944,88727,66587,33238,1319496
2023,Mechanical,629430,460022,135406,68206,38513,1331577
2022,Mechanical,628834,320333,97332,75935,32738,1155172
2020,Electrical,624435,449915,90834,79633,34936,1279753
2021,Mechanical,687212,493097,100325,60736,64604,1405974
2022,Computer Science,655797,479176,89213,91401,60806,1376393
2019,Mechanical,654555,252596,81403,56971,31568,1077093
2019,Civil,685350,267167,136971,59507,73282,1222277
2022,Mechanical,614716,337844,134030,75724,60860,1223174
2022,Electrical,660261,498139,87591,72166,76815,1394972
2022,Electrical,864139,339751,92996,63158,34720,1394764
2019,Computer Science,622414,379817,132485,75774,70725,1281215
2019,Electrical,744916,458403,127830,61108,73923,1466180
2022,Mechanical,767731,330520,114370,62077,38544,1313242
2023,Civil,615522,308326,137572,54175,55604,1171199
2023,Electrical,739596,327670,109098,85627,69293,1331284
2020,Computer Science,630846,391854,141561,52962,46083,1263306
2021,Mechanical,714930,423074,82196,63616,37935,1321751
2023,Computer Science,886543,468259,91091,82253,60029,1588175
2019,Electrical,806232,274022,145254,67751,56585,1349844
2023,Electrical,823734,334458,129262,95625,53898,1436977
2020,Computer Science,819739,395690,86023,55210,53449,1410111
2020,Mechanical,723182,398317,100543,82390,36737,1341169
2021,Electrical,648591,333796,140029,85677,65308,1273401
2023,Civil,751786,391099,122337,93176,50203,1408601
2019,Electrical,898021,395058,120409,86173,59059,1558720
2019,Mechanical,684106,360704,89963,65993,55448,1256214
2022,Electrical,678018,384598,93796,76859,47218,1280489
2019,Computer Science,764486,472869,120972,70878,49708,1478913
2021,Electrical,720832,294361,83261,64923,47013,1210390
2021,Electrical,686576,448230,97046,83588,32986,1348426
2019,Mechanical,810015,288286,93397,77100,77726,1346524
2019,Computer Science,854664,279533,140436,74086,54317,1403036
2022,Mechanical,776540,482033,105757,90023,55382,1509735
2019,Electrical,810774,399388,95299,97709,36485,1439655
2022,Civil,803180,389771,81902,82571,60504,1417928
2022,Electrical,692508,460563,122399,61017,53528,1390015
2019,Mechanical,794405,377441,128330,87221,41772,1429169
2020,Civil,642464,347079,126308,69513,40152,1225516
2020,Mechanical,753995,499238,83846,94974,42531,1474584
2022,Mechanical,716062,350960,92359,96478,60078,1315937
2019,Computer Science,698384,308465,129376,64860,68635,1269720
2020,Civil,798691,397745,148056,58086,55919,1458497
2019,Electrical,777218,273395,120832,98544,52900,1322889
2019,Mechanical,617140,354162,100098,68050,67394,1206844
2019,Electrical,864814,380704,129962,90157,65030,1530667
2023,Computer Science,898663,404779,115885,69784,32414,1521525
2019,Computer Science,644512,465821,101157,61774,40353,1313617
2023,Civil,703565,325937,128372,84968,45559,1288401
2022,Computer Science,745763,379647,99674,62142,42312,1329538
2020,Computer Science,765334,370650,112357,73007,57557,1378905
2020,Electrical,785964,380744,92578,75158,68008,1402452
2020,Computer Science,625595,467804,82251,56051,44053,1275754
2020,Computer Science,788279,437488,117429,81576,71817,1496589
2020,Mechanical,846661,341512,126871,54115,67890,1437049
2020,Computer Science,764512,389830,105499,69024,34993,1363858
2020,Mechanical,870774,317009,86421,56371,48876,1379451
2022,Computer Science,860300,394353,132204,78690,78381,1543928
2019,Computer Science,839644,495340,104591,89355,38211,1567141
2021,Civil,829820,282548,140940,82420,43515,1379243
2023,Civil,808590,268371,92202,93375,71765,1334303
2021,Mechanical,674191,474971,99290,98002,46335,1392789
2021,Computer Science,700591,458665,98130,96698,32175,1386259
2019,Electrical,663753,355977,117077,59080,32405,1228292
2019,Civil,660520,400716,99396,51883,37341,1249856
2019,Electrical,866152,474731,140848,54821,54284,1590836
2020,Civil,862640,404946,140530,86590,58002,1552708
2022,Civil,885356,469731,144274,58338,55456,1613155
2020,Computer Science,882781,264281,107122,72007,56260,1382451
2022,Civil,720118,449859,109381,52477,73924,1405759
2022,Electrical,814418,403361,125435,63135,45963,1452312
2021,Civil,872028,386126,103267,92423,47989,1501833
2021,Mechanical,716481,350020,141978,60437,48941,1317857
2022,Computer Science,668259,357508,87088,98100,55019,1265974
2022,Computer Science,649810,493482,92822,59502,45779,1341395
2020,Mechanical,729926,316846,130216,79236,48426,1304650
2020,Mechanical,604761,344682,116589,50368,60183,1176583
2021,Mechanical,858414,430841,145262,75839,30778,1541134
2019,Civil,616375,279312,137911,96366,65927,1195891
2022,Computer Science,838117,477589,81436,85515,36395,1519052
2020,Mechanical,761637,364186,141854,57562,64514,1389753
2021,Civil,702654,254257,141888,57139,35974,1191912
2020,Mechanical,895119,396918,107281,77141,35150,1511609
2022,Electrical,758145,403555,133952,92778,42132,1430562
2022,Electrical,800798,276558,102766,56704,79572,1316398
2023,Computer Science,732955,293188,101213,51887,72811,1252054
2019,Civil,780701,394084,142239,61975,48492,1427491
2023,Electrical,795242,283236,102537,99211,67442,1347668
2021,Electrical,674489,485281,82794,50544,66764,1359872
2020,Civil,608381,295076,139204,69448,52466,1164575
2021,Mechanical,744867,298402,112324,72830,39550,1267973
2022,Civil,662999,344467,136764,96323,65394,1305947
2023,Mechanical,769564,413148,110858,73926,63258,1430754
2023,Electrical,751606,330337,122850,81002,39487,1325282
2023,Electrical,619996,365827,93018,97581,40273,1216695
2021,Electrical,803161,456236,130790,63333,60931,1514451
2022,Computer Science,705682,324264,89850,66942,49755,1236493
2020,Computer Science,760477,267335,125975,64684,43684,1262155
2020,Computer Science,857972,293773,145510,76088,56748,1430091
2021,Civil,671325,433230,145696,72447,41366,1364064
2023,Electrical,628930,278570,105832,58861,61863,1134056
2019,Electrical,617529,337995,104886,74833,58329,1193572
2021,Civil,653546,290658,88418,67454,78674,1178750
2021,Computer Science,870086,440256,87081,51050,67757,1516230
2022,Civil,869692,370640,90114,70422,74789,1475657
2020,Computer Science,782088,322613,98722,71530,56525,1331478
2021,Electrical,697780,308194,97985,97060,66148,1267167
2021,Mechanical,862440,448579,85888,65756,68457,1531120
2023,Computer Science,667945,361872,149254,54022,71371,1304464
2023,Electrical,659980,415031,99299,91104,70241,1335655
2019,Electrical,765301,434144,136050,52634,31676,1419805
2022,Mechanical,696382,426660,102036,77145,70558,1372781
2019,Electrical,653444,421605,109346,57288,35282,1276965
2023,Electrical,897180,358558,106691,58992,56222,1477643
2020,Computer Science,860186,318582,97986,84253,43376,1404383
2023,Computer Science,758239,442815,107846,77005,39431,1425336
2022,Mechanical,694527,425590,129665,99824,63370,1412976
2023,Mechanical,683337,393775,121401,62166,31937,1292616
2022,Electrical,672894,299456,130054,78065,54505,1234974
2022,Computer Science,663138,305491,118487,67798,54601,1209515
2022,Mechanical,884732,258043,89412,79301,69580,1381068
2022,Mechanical,683038,353212,131473,53894,59255,1280872
2022,Civil,738709,490003,146553,53846,31067,1460178
2020,Mechanical,869066,318340,85279,64481,43401,1380567
2019,Electrical,693697,391248,87712,92154,68020,1332831
2021,Computer Science,775793,385008,95817,80221,43472,1380311
2019,Mechanical,852097,281174,133832,97764,63147,1428014
2022,Civil,800015,332632,136224,58048,55860,1382779
2020,Computer Science,724338,338768,86624,77386,50131,1277247
2023,Mechanical,627843,375775,109126,83336,35196,1231276
2020,Civil,740118,358177,117462,89258,51516,1356531
2022,Mechanical,827997,275909,138676,73853,52424,1368859
2020,Computer Science,726417,294158,126815,84713,43881,1275984
2020,Computer Science,716585,389438,106093,66791,60593,1339500
2022,Computer Science,630346,466197,112525,54228,74887,1338183
2020,Electrical,819356,435409,109030,61945,71505,1497245
2021,Mechanical,702391,374296,124067,91573,35259,1327586
2021,Electrical,898931,309331,85207,89899,54850,1438218
2020,Computer Science,895727,493990,106639,74681,74401,1645438
2023,Civil,743635,443269,82792,84986,61593,1416275
2022,Mechanical,777132,453114,80420,64975,40461,1416102
2021,Electrical,860609,431996,99198,98377,57684,1547864
2023,Mechanical,721943,409914,115608,57711,65690,1370866
2020,Civil,845534,398530,126205,94759,59824,1524852
2023,Electrical,764762,337367,97875,62105,33387,1295496
2019,Computer Science,825784,315382,101331,99645,51826,1393968
2021,Electrical,614925,324319,96893,80146,44553,1160836
2020,Mechanical,817859,261170,144913,65238,72830,1362010
2022,Mechanical,683184,369952,98243,53868,36959,1242206
2020,Mechanical,676515,330145,95535,94294,72715,1269204
2022,Mechanical,799330,355626,143203,60060,59379,1417598
2020,Computer Science,736427,426014,147394,55433,52674,1417942
2023,Electrical,825407,469643,105489,72612,39559,1512710
2023,Computer Science,700854,266208,93346,67822,62252,1190482
2023,Computer Science,894849,416250,128005,84120,56104,1579328
2019,Computer Science,774981,460244,86773,91004,30551,1443553
2022,Mechanical,819678,390111,112343,71294,30133,1423559
2023,Mechanical,728501,264990,125963,68764,36607,1224825
2019,Mechanical,716361,387513,121983,54560,41103,1321520
2022,Electrical,784811,455293,115972,66583,72973,1495632
2020,Civil,807892,379327,96959,65560,59858,1409596
2019,Mechanical,687273,329314,114133,54424,69367,1254511
2021,Electrical,885385,427031,131150,90615,43372,1577553
2019,Mechanical,650818,276862,101734,76863,67892,1174169
2019,Mechanical,751967,408345,97400,96963,63828,1418503
2022,Computer Science,793481,343949,100002,79469,44048,1360949
2020,Computer Science,718642,423572,116492,87565,60423,1406694
2021,Computer Science,884833,380223,110875,73184,48570,1497685
2023,Electrical,795428,253956,105046,73910,49049,1277389
2023,Civil,824083,453161,103664,97077,65938,1543923
2019,Civil,892988,338789,104453,72404,40919,1449553
2022,Electrical,695687,339451,84746,85175,61680,1266739
2022,Mechanical,885509,367782,93217,53791,79747,1480046
2023,Electrical,737098,252365,143184,82208,78351,1293206
2021,Mechanical,890667,322204,121835,89276,66874,1490856
2020,Electrical,741554,386072,89133,97175,66189,1380123
2021,Electrical,712105,307072,120533,59629,46303,1245642
2020,Electrical,713884,302499,85404,82894,65046,1249727
2023,Civil,706968,319211,113339,71990,47548,1259056
2020,Computer Science,821716,393979,108725,92580,47001,1464001
2022,Electrical,682001,398408,125380,57694,75820,1339303
2019,Civil,639767,335220,128073,86087,62699,1251846
2019,Computer Science,629550,343847,140873,58673,58720,1231663
2023,Computer Science,744905,433403,121341,88199,63218,1451066
2022,Electrical,734042,461744,81236,82187,39990,1399199
2021,Mechanical,698315,359459,147916,54378,42778,1302846
2022,Mechanical,695494,327755,94538,73553,70140,1261480
2019,Mechanical,727424,318783,91971,93780,64660,1296618
2019,Electrical,682681,451023,118655,89258,51912,1393529
2022,Mechanical,780249,433581,140784,72524,76130,1503268
2022,Civil,852411,377851,141289,93331,56798,1521680
2019,Civil,792573,256472,117410,66622,33808,1266885
2021,Civil,628900,403452,131302,51420,39476,1254550
