Year,Department,Faculty_Count,Student_Count,Lab_Count,Building_Area,Tuition_Income,Total_Cost
2022,MECH,36,606,12,1379,2090525,6337226
2023,ECE,21,443,8,661,5226693,5486638
2019,CSE,38,690,9,1004,4706121,5551203
2023,MECH,21,468,11,943,2463434,5978464
2020,AIDS,33,597,10,1214,3203483,6808308
2023,MECH,21,532,11,728,1891703,6360128
2019,CIVIL,31,570,10,939,3024959,5196725
2020,ECE,17,359,6,1008,3268985,4214126
2023,EEE,35,595,10,1177,3149096,6082575
2022,MECH,36,766,12,1304,4176755,7992539
2020,CIVIL,34,534,9,1104,4269180,5329565
2020,EEE,22,533,9,731,5683536,5705101
2022,ECE,29,667,10,948,4214919,7019911
2021,AIDS,23,531,8,790,1049028,5103391
2019,AIDS,38,790,12,1138,5247749,7950930
2021,ECE,34,802,12,607,2654863,7304516
2023,ECE,60,891,12,1041,2013120,8723333
2022,CSE,30,680,8,652,2475178,5610999
2021,CIVIL,46,727,12,1181,1050111,6325988
2020,CIVIL,30,663,10,535,5402382,5573781
2023,ECE,30,501,8,926,5111492,5687296
2023,IT,19,445,6,1484,3680997,4580365
2021,IT,46,756,10,1246,1454134,6571478
2021,EEE,27,434,9,856,3894253,5068021
2022,EEE,31,563,10,747,1641144,6226058
2019,IT,22,363,6,1271,2330349,3876451
2021,ECE,40,790,12,1449,1944458,7878929
2021,ECE,17,340,6,689,1793667,4110842
2020,EEE,23,595,11,1019,2229961,5449693
2023,MECH,16,302,7,703,4712865,4390231
2019,ECE,17,409,7,1189,1837624,3907870
2020,IT,27,520,8,632,4370883,5221863
2022,CIVIL,33,669,12,1438,3997555,5902833
2022,ECE,40,667,11,1059,1027885,7230286
2021,ECE,37,735,11,895,5773393,6997017
2021,MECH,11,303,8,1330,1402507,4244531
2022,EEE,25,543,9,1025,2224626,5034891
2021,ECE,28,465,8,514,1457323,5345395
2019,AIDS,22,325,7,809,5581016,4482430
2021,CSE,36,694,9,1127,4530043,6670380
2023,IT,45,773,11,707,2118244,7657172
2021,AIDS,14,316,6,881,2801155,4362545
2020,EEE,17,391,7,1032,3849564,4313259
2019,CIVIL,34,782,11,551,4467549,5894255
2020,CSE,55,842,11,1491,5716763,7893693
2020,AIDS,29,504,8,579,2071099,4865298
2023,CSE,31,801,11,804,4557668,7793036
2019,IT,37,699,9,618,3285082,5184932
2019,EEE,30,506,9,1225,1669460,4990597
2019,ECE,27,445,8,821,3420018,4425452
2019,CIVIL,28,400,7,562,4644998,3935410
2019,EEE,22,540,10,617,3700908,4781849
2023,CSE,30,462,7,1161,4822806,5750840
2021,AIDS,29,472,9,1245,3798526,6449674
2020,IT,52,801,11,822,4253372,7217424
2019,IT,49,846,12,1376,2068136,6185987
2021,EEE,37,583,9,1332,5593900,6735772
2021,ECE,40,658,11,548,1259876,6835467
2020,AIDS,37,680,10,646,5026525,6767708
2023,ECE,33,832,12,1403,2602443,7888227
2022,ECE,31,462,8,533,1871697,5927426
2022,AIDS,32,606,11,1360,2811572,6428779
2021,CSE,31,638,8,549,5574069,5437870
2020,EEE,18,354,7,525,5283965,4047893
2022,EEE,31,632,10,547,1136727,5810293
2021,MECH,20,426,10,870,2771920,4799303
2023,EEE,27,542,9,928,4487593,6456134
2022,IT,37,899,10,1339,3245435,7240196
2021,CSE,46,708,10,943,5871944,6501493
2021,AIDS,33,802,12,1033,3131123,7383180
2019,EEE,27,602,10,978,3726363,5417203
2023,CSE,35,763,9,1412,5735820,7250010
2019,EEE,22,534,9,709,5949236,5219764
2020,AIDS,19,337,6,1052,4240573,4867220
2019,CIVIL,23,438,9,1076,2249928,4084173
2019,AIDS,22,494,9,1277,4186231,5778352
2022,AIDS,41,826,12,727,1130942,8824905
2021,AIDS,22,300,7,1114,5793123,5132053
2023,EEE,52,860,12,1311,3383999,9230988
2019,MECH,17,395,9,1008,5425944,4730567
2023,AIDS,32,712,11,754,5259859,8257332
2019,IT,52,837,11,686,4196661,6532937
2020,IT,42,728,10,1373,4600122,6753692
2019,CSE,30,534,7,804,2633339,4978737
2022,MECH,33,648,12,1434,1438946,6541218
2021,CSE,45,780,10,1254,2430242,6733693
2020,IT,37,695,9,828,4480704,5833249
2019,ECE,30,650,10,639,1172588,5037207
2023,IT,30,715,9,982,1805060,6829019
2020,CIVIL,22,350,8,1298,3378663,3866063
2020,AIDS,21,380,8,873,3371051,5029844
2019,ECE,19,335,6,527,5862689,4603827
2020,IT,17,366,5,822,1996698,3804976
2023,EEE,34,780,12,1273,1049348,7761656
2020,EEE,45,767,12,605,4519207,7085625
2023,CSE,18,441,5,912,3297748,4794633
2019,ECE,44,655,11,1030,4069540,6434815
2021,CSE,36,770,9,966,4036319,6397729
2020,AIDS,35,890,12,1295,3705829,8711124
2021,AIDS,49,738,12,1422,1804446,7942733
2023,CIVIL,52,830,12,1125,3635679,8217394
2020,MECH,26,426,9,657,2477838,4577515
2022,CSE,22,504,7,955,2591286,5233931
2021,AIDS,15,328,6,1462,1939320,3729620
2020,CSE,29,744,9,594,3386351,5700776
2021,AIDS,33,763,12,532,4855261,8115360
2020,IT,35,579,8,649,3085098,4983764
2019,CSE,17,450,6,1160,5712875,4078970
2021,IT,27,539,7,1361,5657817,5880617
2022,CSE,29,565,8,1018,4167331,5795095
2022,MECH,24,404,10,1059,1973657,5466644
2023,CIVIL,45,732,12,1433,4900779,7371500
2020,EEE,43,796,12,1195,5440705,6894158
2021,EEE,31,739,11,588,3643436,6571601
2023,EEE,19,457,8,582,2671742,5625337
2021,IT,31,471,7,558,4090105,4691796
2020,ECE,35,793,11,525,1947503,7260107
2022,AIDS,39,610,10,614,4309131,7080986
2019,EEE,28,702,12,1375,5061986,5861944
2022,MECH,38,762,12,903,3548111,8089710
2023,EEE,46,666,12,897,3197051,7239026
2019,CSE,37,849,11,815,3030698,6488914
2023,IT,27,554,7,849,1532274,5803023
2020,ECE,26,507,8,898,2913690,5649822
2019,CSE,35,749,10,1504,2004392,5667714
2023,ECE,17,394,7,981,1715404,4647129
2020,CSE,37,777,10,1131,1414082,5628321
2022,CSE,20,489,7,1311,5343766,5645209
2020,CIVIL,32,783,12,1477,5497704,6176936
2021,CIVIL,52,835,12,1308,1529982,7263748
2020,AIDS,33,722,12,656,2702065,7315211
2020,IT,25,432,7,1317,1710574,4468196
2021,MECH,16,354,8,676,4576592,4332016
2023,MECH,50,809,12,528,5833690,9531123
2023,MECH,34,840,12,1185,4586202,8636067
2020,CSE,37,709,9,962,2422541,5516288
2021,CIVIL,30,510,10,683,1453746,5082449
2021,IT,40,592,9,1185,2589846,5564151
2022,CSE,20,414,6,1466,1934711,4129084
2023,ECE,32,558,9,642,4254621,6780569
2019,CIVIL,23,421,8,1047,3528353,4280917
2023,CIVIL,29,598,10,1106,2350574,5765913
2023,EEE,37,680,11,1410,4354642,7586355
2022,EEE,49,860,12,1449,1072207,7451464
2019,IT,33,800,10,1390,3644524,5872657
2022,ECE,27,596,10,780,5735206,6219753
2019,IT,34,661,9,763,2887900,5354355
2020,IT,56,888,12,887,5074096,7608444
2019,CSE,39,762,9,1133,1965618,5499747
2022,AIDS,34,737,12,1287,3636664,7566809
2023,IT,18,426,6,1372,1109950,4891424
2019,EEE,22,496,9,1035,2744236,4934814
2019,AIDS,20,520,9,1101,3648940,5197951
2021,CSE,16,390,5,1395,1749165,4343116
2023,AIDS,40,710,12,1019,4795166,8285279
2020,MECH,14,307,8,1177,2108869,4290112
2022,ECE,40,843,12,694,3397448,8618889
2020,AIDS,35,767,11,1182,1620755,7026315
2023,IT,40,619,10,1059,2535289,5956547
2019,CSE,33,693,9,772,3064129,5875091
2019,ECE,33,568,10,770,3591667,5544422
2023,IT,27,490,7,644,2494582,5666615
2019,ECE,16,360,6,967,4913799,4401603
2019,EEE,42,737,12,1003,3346196,5849548
2019,MECH,31,563,12,1153,3926886,5506726
2022,EEE,14,394,7,588,5677802,5183370
2022,IT,45,852,11,883,4903733,7346441
2021,IT,52,769,11,574,2471628,6559103
2020,IT,48,813,11,590,5728423,6535342
2023,CIVIL,28,493,9,748,4965544,5395841
2023,MECH,50,781,12,644,5495670,8099201
2023,ECE,28,635,10,924,2308063,6786397
2021,IT,49,734,11,829,2222464,7047694
2022,IT,23,495,7,883,3020119,4394962
2021,ECE,31,548,9,947,3815858,5716895
2023,EEE,33,797,12,653,3672496,7636513
2020,EEE,25,511,10,964,1907285,5150528
2019,IT,41,765,11,1130,5713549,6290117
2022,CSE,22,520,8,1408,2458988,4926961
2022,CIVIL,25,572,9,1414,1004999,5067029
2021,EEE,20,453,8,517,3514394,4965993
2022,CSE,29,548,8,742,2836738,5939655
2023,CIVIL,38,578,9,1122,4728191,5527440
2023,IT,35,739,9,1244,3428256,7392596
2021,MECH,37,575,11,1476,1300974,6765036
2023,AIDS,43,813,12,913,4896340,8636833
2020,AIDS,16,387,6,1256,2076584,3937432
2021,IT,42,804,11,1249,5568619,6771091
2020,EEE,48,889,12,1197,4737779,8266966
2019,CSE,20,540,7,1392,1179594,4443532
2020,MECH,26,535,11,1084,1196196,5535881
2019,ECE,19,427,7,825,1895188,4591074
2019,CIVIL,51,802,12,1514,2454609,6335116
2020,IT,27,499,7,1016,5862890,5087035
2021,MECH,43,842,12,1038,2026917,7868086
2023,MECH,36,801,12,1261,2682880,7777797
2023,EEE,50,791,12,602,1293301,7335989
2019,CIVIL,17,320,6,1284,4140244,3704899
2019,MECH,23,533,11,1226,4098396,5457851
2021,EEE,32,715,12,832,2434248,6757034
2022,CSE,27,447,7,841,2048764,4819040
2020,EEE,17,328,6,865,5990150,3999901
2019,CSE,36,660,9,753,2283173,5326657
2023,CSE,40,607,9,567,5332122,6145554
2021,ECE,23,461,8,618,1931835,4980718
2020,ECE,14,360,7,555,5533238,4504276
2021,MECH,25,424,10,1262,2129695,5504054
2020,EEE,42,755,12,530,2217028,6364045
2020,ECE,20,370,7,579,4685816,3952357
2019,CSE,36,765,9,1399,3455044,5863831
2021,ECE,22,542,9,712,5221796,6213733
2021,CIVIL,32,789,12,608,5423504,6925322
2023,MECH,32,520,12,1158,3364529,6173013
2023,EEE,33,772,12,548,2584311,7662706
2019,EEE,32,832,12,1116,5729590,7050902
2019,AIDS,50,793,12,934,3910660,8092145
2022,EEE,18,381,7,710,2683139,3915321
2023,MECH,42,821,12,1067,3631821,7956148
2020,CIVIL,11,311,6,1131,4409859,3043056
2021,EEE,28,562,10,1355,5682375,6472030
2019,AIDS,47,748,12,1273,2136767,7273557
2021,MECH,31,491,11,1364,1805698,5866065
2021,CSE,19,413,6,1428,2126001,4223576
2022,IT,20,325,6,1387,5833142,4829351
2023,IT,51,798,10,1235,4637761,8023510
2019,CSE,38,807,10,827,2127662,6011672
2021,ECE,58,844,12,1460,5985910,8336204
2019,EEE,14,361,7,975,4902958,3629244
2020,IT,33,528,7,904,3248411,4404286
2022,ECE,12,334,6,1315,2576802,4012634
2020,IT,34,755,9,1386,1060833,5814921
2019,CSE,36,887,11,728,2720657,6761514
2019,EEE,46,801,12,1382,3562955,7047168
2023,EEE,48,894,12,1088,5127537,8580382
2021,ECE,17,324,6,661,4808532,3745135
2021,CSE,42,868,12,1151,4763209,7172855
2020,ECE,15,331,6,1137,3067796,4120657
2022,EEE,17,311,6,1314,2799271,4079775
2021,EEE,29,618,11,833,1709490,5977870
2023,MECH,21,300,9,940,3192397,4740222
2020,ECE,44,734,11,1088,3002916,6853100
2020,MECH,20,435,11,1178,5531879,5626450
2023,CSE,25,495,7,549,1855377,4827293
2022,CIVIL,19,432,7,1262,2847752,4838514
2023,IT,16,385,5,547,2246733,4366587
2022,MECH,44,775,12,968,4488493,8378321
2023,IT,28,623,8,1382,4094928,5880149
2023,AIDS,19,479,8,699,3001469,5333624
2019,CSE,46,815,11,1262,4188845,7112583
2020,CIVIL,20,474,9,523,4988474,4683268
2023,AIDS,17,320,5,629,2685909,4077850
2023,AIDS,28,404,7,1247,1925855,6433312
2021,EEE,41,877,12,1416,3730038,8055593
2020,AIDS,48,742,11,794,4319759,8137975
2021,CSE,19,348,4,1443,4774719,4508613
2020,MECH,35,827,12,1475,2469361,7095929
2021,CSE,21,444,7,556,5306534,4120996
2023,MECH,35,639,12,701,3022188,7305360
2023,AIDS,45,653,11,816,1543606,8108621
2019,AIDS,26,374,8,1065,5212999,4816750
2021,CIVIL,42,877,12,1213,3607851,7293165
2022,MECH,30,618,12,616,5799296,6872466
2019,AIDS,25,386,7,876,2347816,4374674
2021,EEE,44,852,12,1017,3314472,7353003
2021,IT,19,341,4,966,5460195,4096773
2019,CIVIL,20,392,7,754,2899408,3931643
2023,CSE,39,806,9,779,3877341,7789940
2021,CIVIL,39,828,12,722,3101582,6753908
2023,IT,26,564,8,1017,1105635,5792601
2019,MECH,38,591,12,1041,2176641,6033224
2023,CSE,38,763,10,879,1322555,7227019
2020,CSE,37,859,11,1280,2167354,6664078
2022,MECH,22,396,9,1257,2026988,5504965
2021,ECE,16,394,6,847,2188611,4404052
2022,ECE,35,625,10,919,5107503,7162774
2023,CIVIL,18,373,6,959,1340278,4033797
2021,AIDS,44,635,11,1345,5401833,8344725
2023,ECE,24,367,7,1383,5760833,5819395
2020,CIVIL,13,376,7,1320,1751149,3816830
2019,ECE,31,507,9,1087,3313729,4868176
2021,IT,32,520,8,1357,5634752,5509289
2020,EEE,35,561,10,1475,4681036,5618051
2020,AIDS,33,709,11,663,1428357,6236623
2021,CIVIL,29,630,11,705,5602864,5346436
2023,EEE,31,643,11,1420,2127237,6426100
2020,EEE,15,373,7,653,1365171,4275754
2022,ECE,25,553,9,916,2198850,6165498
2020,MECH,27,631,12,695,1566520,5320494
2023,IT,38,697,8,619,4080901,6262298
2023,IT,34,644,9,748,4021648,6820052
2022,IT,43,883,11,1155,2074930,7653068
2020,AIDS,33,754,12,1472,1340913,6739232
2023,CSE,25,414,6,686,5700516,5290362
2021,AIDS,29,612,10,943,3232814,7255099
2019,CIVIL,25,527,10,911,3241942,4498715
2019,EEE,22,544,9,1035,2005511,4388365
2019,EEE,36,825,12,1259,3241329,6872587
2020,CSE,41,827,11,1056,5854745,6427821
2022,CIVIL,42,726,12,1405,3342582,6290528
2023,CSE,21,341,6,829,4909321,4285164
2021,EEE,46,764,12,776,5048406,7834034
2021,ECE,33,577,9,1123,3451550,6495397
2020,AIDS,17,318,6,1205,1715327,3968059
2019,IT,20,365,6,905,3167233,4040922
2020,EEE,24,466,9,845,4675355,4524670
2022,MECH,48,884,12,817,2981433,8961347
2022,IT,31,702,9,632,1321631,5596187
2023,EEE,33,708,12,1071,5711264,7178869
2023,AIDS,16,411,8,920,1419592,5279905
2022,CSE,27,573,7,1091,1084636,4797694
2022,ECE,41,706,11,897,4150030,7866992
2022,ECE,45,672,11,993,1395025,7673545
2020,IT,37,896,11,822,5977489,7096378
2022,AIDS,12,338,6,1189,1399046,4700392
2021,ECE,20,404,8,1377,4819469,4827898
2019,ECE,24,623,9,708,4980797,5967082
2022,CIVIL,31,713,10,846,3558034,6514799
2019,MECH,43,728,12,534,4543356,6532224
2020,IT,17,360,5,1129,1076420,3944985
2019,CSE,27,606,8,1169,3944104,4726247
2020,ECE,41,653,11,1216,1232172,6439612
2021,CIVIL,44,692,11,946,2227381,6455723
2020,AIDS,28,503,9,1392,4561651,6247795
2020,ECE,30,557,9,936,4569422,5558822
2023,MECH,35,785,12,744,1268889,7102128
2022,CSE,42,816,11,1040,3266194,7129815
2022,AIDS,31,745,12,731,4747316,8535629
2021,AIDS,22,479,8,1499,1745461,4967341
2021,IT,40,641,10,1103,4945743,6792364
2022,ECE,23,432,8,883,4986017,5103695
2023,IT,34,742,10,550,3434968,7276654
2022,CSE,31,552,8,1286,3117494,5972890
2023,ECE,27,564,9,538,1840248,5524892
2021,EEE,21,392,8,879,4221140,5040575
2019,ECE,31,710,10,599,4728330,5856349
2021,EEE,19,437,8,696,5063978,4968117
2021,AIDS,24,507,9,814,1362632,5382617
2020,IT,35,872,11,1283,4038986,7213233
2020,MECH,30,606,11,933,1734948,6048307
2020,ECE,26,565,9,590,4768128,5429260
2020,MECH,33,617,12,697,1096537,6427776
2023,ECE,21,412,7,512,5379849,5400802
2022,AIDS,37,677,12,1071,1551442,8090073
2019,IT,37,753,10,1380,3044471,5570845
2021,CSE,22,490,7,1006,1487268,4414467
2023,CSE,37,739,9,1023,5209777,6836851
2019,CSE,23,486,7,1123,2886184,4624743
2023,ECE,39,666,10,1483,1292429,7284910
2023,ECE,15,388,7,509,1697862,5162705
2021,MECH,22,486,11,726,1800651,4923656
2022,IT,23,431,7,1045,2223654,4693835
2020,ECE,54,859,12,774,4988330,8407608
2022,IT,32,675,9,1248,4054621,6347236
2021,MECH,16,398,9,960,4734163,4466293
2021,ECE,15,333,6,929,1103833,3488168
2021,CSE,41,881,12,841,3661424,7788350
2019,CSE,27,470,7,1007,2093956,4294723
2022,AIDS,37,665,10,1093,3342661,7156511
2022,EEE,16,358,6,703,5673313,4592142
2023,CIVIL,32,480,8,1013,1598137,5139444
2023,EEE,16,318,6,777,3446594,4504895
2023,ECE,26,525,9,1204,2067084,6303810
2021,IT,53,772,11,1474,1554018,7165978
2022,ECE,19,394,6,525,5796851,5307271
2021,IT,36,596,8,618,1867441,5157873
2019,IT,44,892,12,1046,5806707,6659179
2023,EEE,29,474,9,633,5413555,5553616
2021,CIVIL,23,521,8,992,3320430,5063536
2021,AIDS,18,353,7,1100,4557813,5144421
2019,EEE,47,702,12,517,2876068,6694038
2020,CIVIL,29,617,10,1138,4527958,5150308
2022,CSE,32,648,9,863,4167190,6281419
2020,CSE,44,742,10,865,3464802,6448556
2023,IT,42,879,11,1166,2985512,8285784
2021,MECH,48,839,12,1315,2431910,7856962
2019,ECE,27,581,9,1412,3372470,5468758
2019,ECE,29,659,10,740,3966303,6416083
2022,IT,14,307,4,521,1422913,3773959
2020,MECH,42,862,12,1327,5462059,7364210
2022,CIVIL,45,790,12,940,1484623,6620687
2021,CSE,40,640,10,976,3597298,6616519
2022,ECE,50,771,12,1239,2988034,7673768
2019,EEE,36,548,9,756,2571419,4801117
2019,MECH,25,534,11,1308,2911011,5660595
2023,CIVIL,26,382,7,1301,1938528,4467305
2023,CSE,22,392,6,684,5409591,4991208
2021,EEE,29,693,11,1056,1218164,5483459
2020,MECH,22,567,11,1019,1362809,5033445
2022,IT,43,716,11,1076,1875893,6515956
2021,IT,40,882,12,1172,1525011,7278078
2023,IT,57,828,11,1080,5294155,8110042
2022,ECE,32,552,9,743,4204051,5853929
2023,CIVIL,19,421,7,1185,5923475,4521662
2022,IT,14,309,4,543,3227075,3979329
2020,ECE,26,615,9,1002,5076637,5539216
2021,AIDS,36,572,9,955,1520910,7022834
2022,ECE,27,605,10,531,3941477,6385910
2019,CSE,27,509,7,1120,5633947,4497206
2019,ECE,46,763,12,1242,4697354,7310049
2022,CIVIL,43,715,12,1070,4215117,7006063
2022,EEE,23,515,10,620,4019338,5618357
2022,ECE,16,379,7,993,5697215,4343622
2019,IT,31,779,10,604,3955080,5816970
2019,CSE,37,846,10,835,3121879,6584144
2022,MECH,13,317,8,623,5087305,3923281
2023,IT,19,464,6,942,1480293,4659938
2023,CSE,47,824,11,1434,3117034,7831631
2020,AIDS,25,501,8,748,3156708,5121184
2021,MECH,28,645,12,584,2887145,6185117
2023,AIDS,29,665,10,1334,2093630,6724758
2019,EEE,46,747,12,1419,2992835,6307185
2023,CSE,37,812,10,915,1036959,6605670
2020,AIDS,39,618,10,1327,4483126,7514858
2020,EEE,24,516,9,913,1220148,4673599
2021,CSE,15,333,5,1180,2137013,3731572
2023,CSE,25,565,7,761,2142634,5345725
2019,AIDS,18,379,6,1375,4052559,5036265
2019,CSE,35,712,9,708,5384422,6011723
2022,IT,34,551,7,1082,1798104,5171046
2019,CSE,15,311,4,1115,5867767,3826452
2021,CIVIL,40,700,12,1443,5713716,6147944
2021,EEE,36,581,10,1379,2003438,5927076
2019,CSE,17,411,5,1374,4027921,3837974
2019,CIVIL,30,677,10,1098,4900270,5354262
2022,CSE,29,567,8,732,3470530,5727560
2019,CSE,37,597,8,1142,4109664,4951374
2022,AIDS,29,616,9,693,3339270,6397692
2022,IT,59,869,12,1413,4728235,8523460
2019,EEE,41,808,12,1245,5790842,6645043
2020,IT,39,845,10,772,3978887,6536524
2020,MECH,39,664,12,1420,5865684,6817038
2022,AIDS,36,846,12,604,4906358,8948141
2019,AIDS,26,570,9,1383,3785363,6314584
2020,IT,38,773,10,1302,2834233,5889972
2019,ECE,51,836,12,1008,1539719,6776404
2019,AIDS,25,533,10,846,2526380,6040082
2019,IT,15,358,5,1044,5953199,3889268
2023,AIDS,37,550,9,917,5630699,7131448
2019,CSE,26,385,6,1140,1378652,3719818
2023,IT,45,689,10,802,1458407,7252275
2022,IT,27,479,7,871,1512318,4433700
2020,CIVIL,24,448,8,949,3808913,3833234
2020,AIDS,38,882,12,547,1697418,7314608
2020,AIDS,27,420,9,1426,5397484,5791838
2020,IT,23,555,8,1224,4726795,5482661
2020,CSE,34,608,8,1405,2215833,5253635
2020,CSE,25,358,6,1054,1471426,3421679
2020,EEE,14,368,7,1143,1501669,4212485
2022,CSE,33,745,9,737,4721058,7055042
2019,AIDS,31,687,10,1260,5398792,7186475
2021,ECE,19,385,6,631,1693779,3762601
2023,CIVIL,24,526,9,1492,1786012,4871631
2021,IT,60,892,12,1200,4906692,8676020
2021,MECH,26,483,10,1507,3030886,5565388
2019,CIVIL,37,621,9,1474,5874535,5173765
2019,ECE,42,617,10,1204,5508294,6396389
2019,MECH,52,865,12,732,5636511,8109316
2020,CIVIL,34,698,12,631,4979296,5812237
2022,CSE,40,592,9,738,5920693,6652644
2020,AIDS,37,592,10,1402,5226852,7394317
2022,ECE,49,784,12,959,2839658,8280736
2022,MECH,43,746,12,1063,5775870,8541651
2021,ECE,40,711,12,1342,2224483,6744400
2021,CIVIL,45,807,12,1123,5734817,7014767
2022,AIDS,20,543,9,1142,4191088,6620327
2022,ECE,39,719,10,951,4896427,7518978
2020,MECH,25,453,10,520,2495135,4743801
2020,IT,33,723,9,636,5752149,6094160
2021,CIVIL,29,572,9,1058,1200802,5475844
2019,IT,45,819,12,1005,2782030,6820250
2022,CSE,27,427,6,758,1485126,4761980
2020,IT,35,672,8,1092,2372044,4990928
2021,IT,53,867,11,999,3904425,7637647
2020,EEE,32,458,9,1058,3372771,5331542
2022,CIVIL,49,870,12,797,1530959,7446992
2022,CSE,54,869,11,1259,3288808,7860489
2023,IT,32,475,7,845,3653204,4842252
2019,AIDS,32,510,9,677,2972041,5724862
2023,MECH,44,746,12,1475,4463762,8531065
2021,IT,36,885,11,1470,1389952,6430541
2020,CSE,25,466,7,836,1267299,3942051
2021,IT,32,759,9,760,3349545,6635843
2022,MECH,30,656,12,1103,4536147,6574236
2023,CSE,28,603,8,1137,2109427,6137974
2023,CIVIL,35,532,9,811,5590231,5954240
2023,CSE,24,626,9,1241,2192179,6246786
2021,CIVIL,25,481,8,709,4025136,4413940
2022,CSE,44,633,10,1405,5992927,7136549
2020,ECE,15,328,6,1005,3026029,3748634
2020,MECH,14,392,8,1371,2042714,4617341
2021,MECH,29,629,12,1266,2052355,6672292
2023,CSE,19,483,6,522,1634966,4590184
2019,ECE,16,394,7,873,1910192,4100793
2021,IT,42,652,9,1231,4081364,6020480
2021,MECH,28,564,12,1284,4153045,6159848
2022,CIVIL,15,318,6,602,4857984,4149305
2020,CIVIL,44,798,12,586,3222525,6361056
2021,AIDS,19,438,8,1501,2068038,4770139
2021,EEE,39,872,12,1332,2263797,7056363
2023,ECE,47,824,12,1377,2461189,8516411
2023,EEE,25,554,10,1252,2336845,6215994
2019,EEE,16,384,7,864,5436445,4133710
2022,CIVIL,46,757,12,1326,4861817,7050388
2019,AIDS,42,831,12,1060,3897933,7270580
2023,EEE,47,861,12,767,3157867,8777075
2020,EEE,25,391,8,761,3262952,4447806
2023,CSE,38,899,10,1288,5726494,8432919
2022,CSE,19,368,5,688,2937156,3758281
2023,CSE,15,336,4,1358,5035161,4450833
2022,IT,28,439,6,1482,3852235,5316082
2022,EEE,35,865,12,1505,2052493,7091916
2022,IT,21,477,7,675,5059490,5004273
2022,AIDS,30,436,9,512,4628434,6418729
2022,ECE,27,489,8,972,1595022,5264766
2020,CIVIL,31,641,11,657,5074503,5604950
2019,EEE,40,858,12,682,3249750,6409559
2021,CIVIL,20,304,7,849,1118540,3268166
2019,ECE,31,556,9,1508,1647581,5045236
2022,CSE,33,542,8,1384,5612777,6245763
2020,EEE,39,714,11,618,4859073,6777719
2023,MECH,30,642,12,1060,3543498,6521443
2020,IT,32,678,9,827,4744412,6162780
2022,IT,56,893,11,686,1419861,8318993
2020,EEE,26,445,9,1028,2180616,4117902
2020,ECE,34,622,10,1475,4038885,6543910
2022,CSE,27,421,6,1433,2145161,4179965
2020,IT,32,551,7,1108,1422933,5073371
2021,CSE,34,610,8,947,5674823,5502023
2021,AIDS,41,774,12,1124,4611950,7885168
2020,CIVIL,38,869,12,1029,4013509,6674350
2023,ECE,40,791,12,924,4077894,8740953
2022,MECH,51,874,12,953,2556731,8787242
2021,CIVIL,32,646,11,827,5133068,5582220
2023,CIVIL,38,786,12,1057,1046935,7229538
2020,AIDS,40,772,12,1128,1965933,7751996
2023,IT,28,681,9,1092,3829119,7034377
2019,MECH,30,579,12,1411,5853662,5788284
2021,IT,25,371,6,1367,3138902,4679351
2020,EEE,49,820,12,1469,2913296,7603984
2022,CIVIL,31,665,12,575,5022058,5815528
2020,EEE,23,393,8,539,3421129,4553964
2022,CSE,38,672,8,1112,2029726,5906556
2020,CIVIL,30,638,10,723,4160044,5806891
2023,IT,33,736,9,977,2010684,6606024
2023,CIVIL,38,635,11,1075,3492945,5965478
2023,CSE,33,791,10,1090,1754899,6793315
2019,AIDS,19,339,6,586,1246818,4034674
2022,EEE,33,658,11,855,3286738,6231858
2023,EEE,48,873,12,749,5406553,8170379
2019,IT,34,553,7,1388,4075618,5561010
2022,CIVIL,38,880,12,1130,4083851,7490434
2020,IT,34,697,9,642,5271687,6175640
2019,AIDS,20,469,8,527,2398008,4562741
2021,CIVIL,49,810,12,873,2392696,6835141
2019,CIVIL,27,559,9,929,3509321,4468126
2019,IT,44,883,12,1476,4864276,7386085
2022,IT,47,758,10,1120,4914988,7006570
2020,CSE,52,828,11,597,2399017,6367302
2021,ECE,37,640,10,1127,3967452,6561469
2023,ECE,20,356,7,1387,2392862,4413764
2023,AIDS,29,517,9,1175,3978118,6457064
2019,ECE,33,763,11,1296,5232289,6932188
2022,CSE,26,546,8,628,1304861,5491970
2022,EEE,41,672,12,1367,1402243,6313665
2023,CIVIL,43,716,12,1008,3492904,7394172
2021,IT,13,330,5,1296,1788957,3888988
2020,CIVIL,30,667,11,1005,1738637,4727244
2021,CIVIL,46,858,12,1392,2118999,7326037
2020,MECH,25,407,9,732,3186794,4107171
2023,EEE,53,883,12,1504,4135326,8862919
2020,MECH,31,717,12,933,4270054,6379809
2022,ECE,36,697,11,1293,2328475,7166656
2019,CIVIL,33,571,11,647,1281752,4959673
2019,IT,23,415,6,733,2887521,3495988
2023,CIVIL,43,885,12,851,2410166,7500314
2022,EEE,27,555,9,739,2499700,5281390
2021,MECH,19,380,8,829,4944886,5212865
2022,IT,23,427,6,615,3704948,4118159
2019,CIVIL,35,534,10,1322,2225332,4433667
2019,AIDS,35,852,12,961,4646910,7411996
2022,EEE,25,480,9,1426,3306442,5173154
2022,EEE,18,456,8,515,5002038,5569689
2019,AIDS,39,753,10,642,2969442,7522023
2021,CIVIL,42,870,12,870,3524772,6364566
2023,EEE,19,323,6,1500,2030742,4291572
2023,IT,50,772,11,782,5074336,7974466
2022,CIVIL,36,699,10,1198,5446291,6923009
2023,CIVIL,43,891,12,1445,2555204,7278772
